tweet_id,text,rating_numerator,rating_denominator,name,dogs_stage,year,month,day,jpg_url,dog_type,confidence_list,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
667453023279554560,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,11,10,Cupcake,None,2015,11,19,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,Labrador_retriever,0.8256700000000001,320.0,93.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/6uLCWR9Efa
667455448082227200,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,7,10,Reese,None,2015,11,19,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,Tibetan_terrier,0.676376,196.0,65.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/uLzRi1drVK
667470559035432960,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,11,10,a,None,2015,11,19,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,toy_poodle,0.304175,265.0,101.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/J4vn2rOYFk
667491009379606528,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,7,10,None,None,2015,11,19,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,borzoi,0.852088,550.0,237.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/ITxxcc4v9y
667495797102141441,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,9,10,Philippe,None,2015,11,20,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,Chihuahua,0.143957,547.0,288.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/5NhPV8E45i
667502640335572993,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11,10,Hall,None,2015,11,20,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,Labrador_retriever,0.996709,550.0,228.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/n5Wtb5Hvsl
667517642048163840,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8,10,Dook,None,2015,11,20,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,Italian_greyhound,0.125176,381.0,198.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/fh5KflzBR0
667524857454854144,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12,10,None,None,2015,11,20,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,Chesapeake_Bay_retriever,0.08812239999999999,1754.0,1172.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/seESNzgsdm
667530908589760512,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",10,10,Naphaniel,None,2015,11,20,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,golden_retriever,0.633037,489.0,255.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/xoRWyQTcmy
667534815156183040,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",8,10,Frank,None,2015,11,20,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,Pembroke,0.435254,846.0,562.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/CpPxD28IpV
667538891197542400,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",9,10,a,None,2015,11,20,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,Yorkshire_terrier,0.618957,210.0,70.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/IQTOMqDUIe
667544320556335104,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",10,10,Kial,None,2015,11,20,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,Pomeranian,0.412893,899.0,551.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/8zcwIoiuqR
667546741521195010,Here is George. George took a selfie of his new man bun and that is downright epic. (Also looks like Rand Paul) 9/10 https://t.co/afRtVsoIIb,9,10,George,None,2015,11,20,https://pbs.twimg.com/media/CUOaOWXWcAA0_Jy.jpg,toy_poodle,0.787424,344.0,133.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/afRtVsoIIb
667728196545200128,Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB,11,10,Olive,None,2015,11,20,https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg,kuvasz,0.360159,386.0,159.0,6643742.0,103.0,Twitter Web Client,Original tweet,https://t.co/LwrCwlWwPB
667773195014021121,This is a rare Hungarian Pinot named Jessiga. She is either mid-stroke or got stuck in the washing machine. 8/10 https://t.co/ZU0i0KJyqD,8,10,a,None,2015,11,20,https://pbs.twimg.com/media/CURoLrOVEAAaWdR.jpg,West_Highland_white_terrier,0.360465,240.0,59.0,6643741.0,103.0,Twitter Web Client,Original tweet,https://t.co/ZU0i0KJyqD
667793409583771648,Dogs only please. Small cows and other non canines will not be tolerated. Sick tattoos tho 8/10 https://t.co/s1z7mX4c9O,8,10,None,None,2015,11,20,https://pbs.twimg.com/media/CUR6jqVWsAEgGot.jpg,dalmatian,0.5350729999999999,720.0,345.0,6643543.0,103.0,Twitter for iPhone,Original tweet,https://t.co/s1z7mX4c9O
667801013445750784,OMIGOD 12/10 https://t.co/SVMF4Frf1w,12,10,None,None,2015,11,20,https://pbs.twimg.com/media/CUSBemVUEAAn-6V.jpg,flat-coated_retriever,0.508392,339.0,98.0,6643741.0,103.0,Twitter for iPhone,Original tweet,https://t.co/SVMF4Frf1w
667806454573760512,This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75,10,10,Filup,None,2015,11,20,https://pbs.twimg.com/media/CUSGbXeVAAAgztZ.jpg,Chihuahua,0.187155,1090.0,524.0,6643741.0,103.0,Twitter for iPhone,Original tweet,https://t.co/TBmDJXJB75
667832474953625600,"THE EYES 12/10

I'm sorry. These are supposed to be funny but your dogs are too adorable https://t.co/z1xPTgVLc7",12,10,None,None,2015,11,20,https://pbs.twimg.com/media/CUSeGFNW4AAyyHC.jpg,miniature_pinscher,0.2142,294.0,65.0,6643741.0,103.0,Twitter for iPhone,Original tweet,https://t.co/z1xPTgVLc7
